"Player,Runs_bat,4s_bat,6s_bat,Strike Rate_x,Wickets,Maidens,Overs,Economy,Dots,Fielder_Catch,Fielder_Stumping,Fielder_Runout,Fantasy_Points,Player_Role"
"devon conway,924.0,99.0,30.0,111.33000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1083.0,Batsman"
"dewald brevis,230.0,17.0,16.0,112.51200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,Batsman"
"dhawal kulkarni,3.0,0.0,0.0,75.0,0.0,0.0,7.0,9.665,13.0,0.0,0.0,0.0,3.0,Batsman"
"dhruv jurel,347.0,29.0,16.0,123.43590909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0,Batsman"
"dinesh karthik,90.0,6.0,7.0,181.5375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,Batsman"
"dinesh karthik (c)â€ ,108.0,14.0,2.0,85.40714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,Batsman"
"dinesh karthik â€ ,520.0,49.0,24.0,127.89645161290322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.0,Batsman"
"donovan ferreira,8.0,0.0,0.0,60.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Batsman"
"duan jansen,0.0,0.0,0.0,0.0,1.0,0.0,4.0,13.25,6.0,0.0,0.0,0.0,25.0,Bowler"
"dushmantha chameera,43.0,3.0,3.0,58.77230769230769,7.0,0.0,40.0,7.434615384615385,114.0,0.0,0.0,0.0,227.0,Unknown"
"dwaine pretorius,44.0,3.0,3.0,88.52,5.0,0.0,22.0,7.607142857142857,42.0,0.0,0.0,0.0,178.0,Batsman"
"dwayne bravo,77.0,4.0,5.0,61.630434782608695,32.0,1.0,71.2,8.138260869565217,149.0,0.0,0.0,0.0,903.0,Bowler"
"eoin morgan,175.0,10.0,11.0,122.58285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,Batsman"
"eoin morgan (c),376.0,30.0,19.0,92.74652173913044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,Batsman"
"evin lewis,224.0,26.0,10.0,127.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,Batsman"
"fabian allen,14.0,1.0,0.0,33.763999999999996,2.0,1.0,15.0,7.3,26.0,0.0,0.0,0.0,77.0,Unknown"
"faf du plessis,1082.0,102.0,37.0,118.5448275862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1258.0,Batsman"
"faf du plessis (c),438.0,47.0,21.0,149.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.0,Batsman"
"fazalhaq farooqi,3.0,0.0,0.0,6.428571428571429,6.0,0.0,21.2,7.18,52.0,0.0,0.0,0.0,153.0,Bowler"
"george garton,0.0,0.0,0.0,0.0,3.0,0.0,15.0,9.514,32.0,0.0,0.0,0.0,75.0,Bowler"
"gerald coetzee,14.0,0.0,1.0,24.205000000000002,13.0,0.0,33.3,10.531,81.0,0.0,0.0,0.0,341.0,Bowler"
"glenn maxwell,52.0,6.0,2.0,18.263684210526314,20.0,1.0,80.8,7.430526315789474,167.0,0.0,0.0,0.0,574.0,Unknown"
"glenn phillips,57.0,3.0,5.0,111.36571428571428,2.0,0.0,4.0,3.5714285714285716,9.0,0.0,0.0,0.0,120.0,Batsman"
"glenn phillips â€ ,8.0,0.0,1.0,133.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,Batsman"
"gulbadin naib,19.0,1.0,1.0,63.33,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,22.0,Unknown"
"gurnoor brar,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,7.0,0.0,0.0,0.0,0.0,Unknown"
